id,fighter
1144,Tim Williams
1145,Iuri Alcantara
1146,George Sullivan
1147,Kalindra Faria
1148,Jon Tuck
1149,Demetrious Johnson
1150,Jose Torres
1151,Danielle Taylor
1152,Eddie Alvarez
1153,Jordan Mein
1154,Alvaro Herrera
1155,Vitor Miranda
1156,Jeremy Kimball
1157,Damian Stasiak
1158,Sage Northcutt
1159,Justin Scoggins
1160,Gokhan Saki
1161,Jamie Moyle
1162,Joe Giannetti
1163,Jay Cucciniello
1164,Barb Honchak
1165,Richie Smullen
1166,Allan Zuniga
1167,Tyler Diamond
1168,Matt Bessette
1169,Daichi Abe
1170,Felipe Arantes
1171,Rolando Dy
1172,Shinsho Anzai
1173,Viviane Pereira
1174,Naoki Inoue
1175,Jenel Lausa
1176,Melinda Fabian
1177,CM Punk
1178,Rashad Evans
1179,Mike Santiago
1180,Gleison Tibau
1181,Mads Burnell
1182,Daniel Kelly
1183,Bradley Scott
1184,Diego Rivas
1185,Henry Briones
1186,Felipe Silva
1187,Vitor Belfort
1188,Lyoto Machida
1189,Alberto Mina
1190,James Bochnovic
1191,Luan Chagas
1192,Patrick Williams
1193,Bec Rawlings
1194,Tom Duquesnoy
1195,Oliver Enkamp
1196,Mark Godbeer
1197,Dmitry Sosnovskiy
1198,Mike Pyle
1199,Russell Doane
1200,Albert Morales
1201,Brian Camozzi
1202,Joshua Burkman
1203,Cyril Asker
1204,Damien Brown
1205,Rob Wilkinson
1206,Jeremy Kennedy
1207,Tim Johnson
1208,Maia Stevenson
1209,Joe Soto
1210,Godofredo Pepey
1211,Juliana Lima
1212,Francimar Barroso
1213,Sabah Homasi
1214,Galore Bofando
1215,Abel Trujillo
1216,Oluwale Bamgbose
1217,Erick Silva
1218,Carls John De Tomas
1219,Antonio Braga Neto
1220,Angela Magana
1221,DeAnna Bennett
1222,Christina Marks
1223,Ryan Janes
1224,Karine Gevorgyan
1225,Ariel Beck
1226,Michael Bisping
1227,Wang Guan
1228,Bobby Nash
1229,Kailin Curran
1230,Bharat Kandare
1231,Bojan Velickovic
1232,Ashkan Mokhtarian
1233,Will Brooks
1234,Anthony Hamilton
1235,Nate Marquardt
1236,Michel Quinones
1237,Marcel Fortuna
1238,Georges St-Pierre
1239,Johny Hendricks
1240,Hacran Dias
1241,Christian Colombo
1242,Jonathan Wilson
1243,Marcin Held
1244,Pearl Gonzalez
1245,Marco Beltran
1246,Takanori Gomi
1247,Henrique da Silva
